product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,has_narrative,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue,clean_narratives
Checking or savings account,I went to chase bank XXXX Ohio and deposited XXXX $ on my way to buy a car. After it took the money it didnt deposit printed a receipt and now I cant buy the car I want before the year is over which means I probably wont get it at all cause I have to wait on my money to be added to my account,2023-12-29 12:00:00-05:00,Managing an account,Checking account,45414,,True,8081210,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-29 12:00:00-05:00,OH,N/A,,Deposits and withdrawals,I went to chase bank [R] Ohio and deposited [R] $ on my way to buy a car. After it took the money it didnt deposit printed a receipt and now I cant buy the car I want before the year is over which means I probably wont get it at all cause I have to wait on my money to be added to my account
Credit card,"In XXXX my husband went to XXXX. While there we took a taxi on XX/XX/XXXX from the XXXX XXXX to the XXXX XXXX  which should have cost somewhere around XXXX XXXX {$10.00}. The driver told us his company would only take a credit card so we agreed. He did not give us a receipt. When we got home, we discovered that we had been charged {$560.00}. We dont know if it was a decimal point error or was done deliberately. We initially reported it as fraud but we were told that since we received benefit, it wasnt fraud. We then reported it as an incorrect amount but without a receipt we were again turned down. Although the representatives agreed that it was an unreasonable amount, they couldnt help.",2023-12-29 12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,94127,,True,8080994,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-29 12:00:00-05:00,CA,N/A,,Overcharged for something you did purchase with the card,"In [R] my husband went to [R]. While there we took a taxi on [R] from the [R] to the [R]  which should have cost somewhere around [R] {$10.00}. The driver told us his company would only take a credit card so we agreed. He did not give us a receipt. When we got home, we discovered that we had been charged {$560.00}. We dont know if it was a decimal point error or was done deliberately. We initially reported it as fraud but we were told that since we received benefit, it wasnt fraud. We then repor"
"Money transfer, virtual currency, or money service","On XX/XX/, I started receiving emails from what I thought was my real estate agent setting up a time to meet with XXXX XXXX XXXX XXXX XXXX XXXX to sign the closing documents on a house I was trying to purchase. I then received email, from who I thought was XXXX XXXX XXXX but was actually from a fraudulent person, with instructions on where to send the XXXX. On XX/XX/, I wired {$120000.00} around XXXX XXXX XXXX XXXX XXXX ) to the JP Morgan Chase account provided in the wire transfer document. After meeting with XXXX to sign the closing paperwork XXXX XXXX employee stated that the wire information was not XXXX wire information. I rushed to XXXX XXXX to report the fraudulent wire transfer and to find out what can be done to get the {$120000.00} back. XXXX XXXX initiated the wire transfer recall. In addition, to the initial recall request sent by XXXX XXXX, XXXX XXXX has reached out to JP Morgan Chase on XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX. As of today, XXXX XXXX XXXX JP Morgan Chase has not responded to any of XXXX XXXX requests. Through XXXX XXXX XXXX XXXX Department, JP Morgan Chase has requested a Hold to Harmless/Indemnity form to JP Morgan Chase , however, XXXX XXXX is stating they can not send the "" Hold to Harmless/Indemnity '' form because JP Morgan Chase has not communicated with XXXX XXXX.",2023-12-29 12:00:00-05:00,Fraud or scam,Domestic (US) money transfer,97322,Servicemember,True,8080992,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-29 12:00:00-05:00,OR,N/A,,,"On [R]/, I started receiving emails from what I thought was my real estate agent setting up a time to meet with [R] to sign the closing documents on a house I was trying to purchase. I then received email, from who I thought was [R] but was actually from a fraudulent person, with instructions on where to send the [R]. On [R]/, I wired {$120000.00} around [R] ) to the JP Morgan Chase account provided in the wire transfer document. After meeting with [R] to sign the closing paperwork [R] employee "
Checking or savings account,"On XX/XX/2023, Chase took part in perpetrating fraud by opening a fraudulent business account at their bank where my wife 's and my funds were transferred to.",2023-12-30 12:00:00-05:00,Managing an account,Checking account,07039,,True,8082848,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,NJ,N/A,,Deposits and withdrawals,"On [R]/2023, Chase took part in perpetrating fraud by opening a fraudulent business account at their bank where my wife 's and my funds were transferred to."
Checking or savings account,"Chase bank closed my banking account abruptly without stating why, which as they said they can do that. On XXXX Chase closed my account during that process my payroll check was just deposited and bills needed to be paid. Since the time of closure, I have been contacting every other week. For the pass XXXX months they keep telling me the fraud department is still investigating my account and they would contact me soon. They sent me a summary of my account balance and deposit. But nothing stating they will send me a refund check.",2023-12-30 12:00:00-05:00,Managing an account,Checking account,27713,Older American,True,8082985,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,NC,N/A,,Deposits and withdrawals,"Chase bank closed my banking account abruptly without stating why, which as they said they can do that. On [R] Chase closed my account during that process my payroll check was just deposited and bills needed to be paid. Since the time of closure, I have been contacting every other week. For the pass [R] months they keep telling me the fraud department is still investigating my account and they would contact me soon. They sent me a summary of my account balance and deposit. But nothing stating th"
Credit card,"Reference # XXXX Dear Chase Card Services, I hope this letter finds you well. I am writing to express my deep frustration and dissatisfaction with the challenges I have encountered while attempting to open business credit cards with Chase. As a longstanding customer, I have recently experienced a series of perplexing and time-consuming issues that have significantly impacted my confidence in the application process. 

In early XXXX, I applied for the Chase Ink Business card, and to my relief, the application was swiftly approved. However, my satisfaction was short-lived when I faced difficulties creating an online account for the card. Upon contacting Chase, I was directed to the fraud department, where I was asked a question about a loan from decades ago. Unfortunately, I couldn't recall the answer, leading to a requirement to visit a Chase branch to verify my identity and confirm that I was indeed the applicant and not a victim of identity theft. Although the in-person visit resolved the issue, the inconvenience and uncertainty surrounding this process were disheartening. 

Fast forward to early XXXX, when I applied for another Chase Ink Business card under a different business entity ( the first being a sole proprietorship and the second with a valid business EIN ). Despite having recently and physically verified my identity at a Chase branch with XXXX forms of identification for a similar application just XXXX months prior, I am once again being asked to submit additional documents to verify my identity. This repeated demand for verification is perplexing and frustrating, given that I am not a victim of identity theft, have never been one, and have never placed a credit freeze on my account. My loyalty to Chase over the years adds to my confusion as to why my business applications consistently undergo a secondary verification process, citing reasons such as "" Name verification - name provided is unable to be verified. '' I am reaching out to seek resolution and clarity on this matter. I am requesting a thorough review of my account and the application process to identify the root cause of these persistent issues. It is crucial to understand why my applications are subject to additional scrutiny, especially when others do not face such hurdles.

I value my relationship with Chase and believe in the importance of security measures. However, the repeated and seemingly unnecessary verification process is eroding the trust I have placed in the bank 's systems. I trust that you will investigate this matter promptly and provide a resolution that ensures a smoother and more efficient experience for loyal customers like myself.

Thank you for your attention to this matter. I look forward to a prompt and satisfactory resolution.",2023-12-30 12:00:00-05:00,Getting a credit card,General-purpose credit card or charge card,21228,,True,8082733,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,MD,N/A,,Delay in processing application,"Reference # [R] Dear Chase Card Services, I hope this letter finds you well. I am writing to express my deep frustration and dissatisfaction with the challenges I have encountered while attempting to open business credit cards with Chase. As a longstanding customer, I have recently experienced a series of perplexing and time-consuming issues that have significantly impacted my confidence in the application process. 

In early [R], I applied for the Chase Ink Business card, and to my relief, the "
Credit card,"On XX/XX/XXXX, I completed a balance transfer from my XXXX XXXX XXXX XXXX XXXX to my Chase World of Hyatt Visa card in the amount of {$7700.00}. The offer for the balance transfer was for 0 % interest if paid by XX/XX/XXXX. There was a 5 % fee for the balance transfer, totaling {$380.00}. Upon reviewing my statement dated XX/XX/XXXX, it appeared that the payments I had made in the statement period had been applied incorrectly. 

According to the statement, I had an existing balance of {$10000.00} prior to the beginning of the statement period. During the month, I completed the {$7700.00} balance transfer, {$1400.00} in purchases, and made {$4500.00} in payments, leaving me with a total balance of {$15000.00}. The statement shows a {$9800.00} balance subject to a 28.24 % APR and {$6400.00} subject to a 0 % APR The minimum payment for the period was {$400.00}. I was charged the {$380.00} balance transfer fee and {$220.00} in interest. 

The statement states, under the section How to Avoid Paying Interest on Balances : "" Because we apply payments in excess of your minimum payment first to higher rate balances, you may not be able to avoid interest charges on new purchases if you have another balance at a higher rate unless you pay your balance ( or Interest Saving Balance ) in full each month. '' Likewise, 1026.53, states that except on the two statements immediately preceding the expiration of the promotional rate or at the request of the consumer, "" when a consumer makes a payment in excess of the required minimum periodic payment for a credit card account under an open-end ( not home-secured ) consumer credit plan, the card issuer must allocate the excess amount first to the balance with the highest annual percentage rate and any remaining portion to the other balances in descending order based on the applicable annual percentage rate. '' If Chase had followed both their policy and 1026.53, at most {$400.00} of the payments made should have applied to the promotional. More likely, less than that amount should have applied as part of that minimum would have been for the standard APR balance ; however, Chase does not show on the statement which part of the minimum payment was for which balance, so we will give them the benefit of the doubt and apply th entirety of the {$400.00} to the promotional balance. If they had done that, the promotional balance would have been {$7300.00}, and the standard APR balance would have been {$8900.00} ; the interest charged would have been {$210.00}, {$17.00} less than I was actually charged. If they had applied the minimum payment proportionally, only {$180.00} would have gone to the promotional balance, leading to a promotional balance of {$7500.00}, a standard balance of {$8700.00} and an interest charge of {$200.00}, {$22.00} less than I was charged. 

On XX/XX/XXXX, I contacted Chase to ask about the issue. I was initially told by the customer service agent that I was correct and that the statement was simply showing the incorrect amount for the promotional balance. When she gave me what she calculated as the purchase balance, however, it was still incorrect, so she transferred me to a supervisor. When I explained the situation to the supervisor, I was told that, in contradiction to the policy listed in the statement and 1026.53, in fact payments were allocated first to purchases made during the statement period, and all payments after that would go toward the promotional balance. When I told her that was incorrect and in violation of 1026.53, she told me she was ending the conversation and hung up. 

Obviously, what she told me is still wrong, as that would have meant the promotional balance would be {$5100.00} as {$1400.00} would have gone toward the purchases, {$400.00} would have been the minimum, and the remaining {$2600.00} would have been applied to the promotional balance. It appears that maybe they applied the rest of the payment proportionally to the two total balances, but that still is in contradiction to both their own stated policy and 1026.53.",2023-12-30 12:00:00-05:00,Problem when making payments,General-purpose credit card or charge card,XXXXX,,True,8082821,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,UT,N/A,,Problem during payment process,"On [R], I completed a balance transfer from my [R] to my Chase World of Hyatt Visa card in the amount of {$7700.00}. The offer for the balance transfer was for 0 % interest if paid by [R]. There was a 5 % fee for the balance transfer, totaling {$380.00}. Upon reviewing my statement dated [R], it appeared that the payments I had made in the statement period had been applied incorrectly. 

According to the statement, I had an existing balance of {$10000.00} prior to the beginning of the statement "
Credit card,Myself and a work colleague XXXX XXXX both applied for the credit card with an advertised Apr of 23.00 %. when I recieved the cards the interest rate was 29.49 % and Chase would not tell me why,2023-12-30 12:00:00-05:00,"Advertising and marketing, including promotional offers",General-purpose credit card or charge card,181XX,,True,8083259,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,PA,N/A,,Didn't receive advertised or promotional terms,Myself and a work colleague [R] both applied for the credit card with an advertised Apr of 23.00 %. when I recieved the cards the interest rate was 29.49 % and Chase would not tell me why
Credit reporting or other personal consumer reports,""" There is a need to ensure that consumer reporting agencies exercise their grave responsibilities with fairness, impartiality, and a respect for the consumer 's right to privacy, '' according to section 602a of the Fair Credit Reporting Act, 15 USC 1681. I am the consumer, and the consumer reporting organizations are XXXX and XXXX. According to 15 USC 6801, "" It is the policy of the Congress that each financial institution has an affirmative and continuing obligation to respect the privacy of its customers and to protect the security and confidentiality of those customers ' nonpublic personal information, '' I have the right to ensure that my private information isn't shared. By definition, an organization that provides information to credit agencies falls under the category of financial institution. Section 2 of 15 USC 1681 section 604 says that "" In general Any consumer reporting agency, subject to paragraph ( c ), may provide a consumer report in the following situations only : in compliance with the customer 's written instructions. '' ( Info provider to credit agencies ) The banking institution and the consumer reporting agencies XXXX, XXXX and XXXX do not have my written consent, nor do they have my consent to provide this information. All spoken, nonverbal, written, implied, and other consents to XXXX and XXXX ( providers of information to credit agencies ) are withdrawn. 15 USC 6802 ( b ) ( c ) provides that "" A financial institution may not disclose nonpublic personal information to a non-affiliated third party unless the consumer is given an explanation of how the consumer can exercise that nondisclosure option. '' In addition, 15 USC 1681C ( a ) ( 5 ) states that "" Except as authorized under subsection ( b ), no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedate the report by more than seven years. '' ( Furnisher of information to credit agencies ) Never informed me of my right to exercise my nondisclosure option. '' They are re-reporting this account as an unfavorable item without my consent, which is illegal.A person is prohibited from providing any consumer-related information to a consumer reporting agency if they know or have reasonable suspicion that the information is incorrect, according to 15 U.S. Code 1681s2 ( A ) ( 1 ) A. According to 15 U.S. Code 1681e, "" Every consumer reporting agency shall maintain reasonable procedures designed to prevent violations of this title 's section 1681c and to limit the furnishing of consumer reports to the purposes listed under section 1681b. '' Reasonable processes are not being upheld by XXXX and XXXX. Furthermore I'm opting out of your reporting services in accordance with 12 CFR 1016.7, which provides that "" A consumer may exercise the right to opt out at any time. '' 18 USC 1681- Permissible purposes of consumer reports Violation of the privacy Act of 1974 5 USC 552a- Records maintained on individuals- 15 USC 1681 ( s ) 2 ( b ) - Responsibilities of furnisher of information to consumer reporting agencies 16 CFR 444.1- Unfair or deceptive cosigner practice 16 CFR 444.4- late charges, In connection with collecting a debt arising out of an extension of credit to a consumer in or affection commerce, as commerce is defined in the FEDERAL TRADE COMMISSION ACTS, It is an unfair act or practice within the meaning of section % of that act for a creditor, directly or indirectly, to levy or collect any delinquency charge on a payment, which payment is otherwise a full payment for the applicable period and is paid on its due date or within an applicable grace period, when the only delinquency charges, assessed on earlier installments. 
15 USC 1666b ( a ) A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose.",2023-12-30 12:00:00-05:00,Improper use of your report,Credit reporting,44306,,True,8079695,Yes,Consent provided,Closed with non-monetary relief,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,OH,N/A,,Reporting company used your report improperly,""" There is a need to ensure that consumer reporting agencies exercise their grave responsibilities with fairness, impartiality, and a respect for the consumer 's right to privacy, '' according to section 602a of the Fair Credit Reporting Act, 15 USC 1681. I am the consumer, and the consumer reporting organizations are [R] and [R]. According to 15 USC 6801, "" It is the policy of the Congress that each financial institution has an affirmative and continuing obligation to respect the privacy of its"
Credit reporting or other personal consumer reports,Account has been paid in full and has not been updated in system,2023-12-30 12:00:00-05:00,Incorrect information on your report,Credit reporting,303XX,Servicemember,True,8083100,Yes,Consent provided,Closed with explanation,Web,JPMORGAN CHASE & CO.,2023-12-30 12:00:00-05:00,GA,N/A,,Account information incorrect,Account has been paid in full and has not been updated in system
