Date,Checking or savings account,Credit card or prepaid card,Credit card,"Money transfer, virtual currency, or money service","Credit reporting, credit repair services, or other personal consumer reports"
2023-12-01 00:00:00+00:00,325,0.0,266.0,74,0.0
2023-11-01 00:00:00+00:00,305,0.0,246.0,69,0.0
2023-10-01 00:00:00+00:00,323,0.0,298.0,62,0.0
2023-09-01 00:00:00+00:00,305,0.0,216.0,59,0.0
2023-08-01 00:00:00+00:00,329,187.0,65.0,53,70.0
2023-07-01 00:00:00+00:00,273,192.0,0.0,48,85.0
2023-06-01 00:00:00+00:00,304,187.0,0.0,63,105.0
2023-05-01 00:00:00+00:00,259,153.0,0.0,49,84.0
2023-04-01 00:00:00+00:00,241,141.0,0.0,50,82.0
2023-03-01 00:00:00+00:00,271,182.0,0.0,54,107.0
2023-02-01 00:00:00+00:00,227,170.0,0.0,46,63.0
2023-01-01 00:00:00+00:00,261,197.0,0.0,74,77.0
